Date,Open,High,Low,Close,Volume
21-Feb-13,51.17,51.17,50.70,50.90,201486
20-Feb-13,52.11,52.13,51.41,51.43,249789
19-Feb-13,51.87,52.07,51.80,52.02,399072
15-Feb-13,51.78,51.78,51.44,51.57,294910
14-Feb-13,51.58,51.75,51.50,51.70,276578
13-Feb-13,51.89,51.96,51.68,51.78,185287
12-Feb-13,51.58,51.80,51.50,51.68,191730
11-Feb-13,51.60,51.60,51.40,51.52,287877
8-Feb-13,51.49,51.61,51.44,51.59,230513
7-Feb-13,51.53,51.53,50.95,51.28,250033
6-Feb-13,51.27,51.55,51.21,51.55,263798
5-Feb-13,51.29,51.64,51.29,51.50,189608
4-Feb-13,51.52,51.57,51.11,51.15,717222
1-Feb-13,51.74,51.95,51.60,51.88,257072
31-Jan-13,51.43,51.58,51.31,51.40,236780
30-Jan-13,51.73,51.75,51.49,51.54,180761
29-Jan-13,51.40,51.66,51.33,51.61,221162
28-Jan-13,51.50,51.53,51.20,51.33,183725
25-Jan-13,51.48,51.53,51.29,51.53,154890
24-Jan-13,51.20,51.43,51.03,51.25,507355
23-Jan-13,51.13,51.20,51.01,51.15,241879
22-Jan-13,50.92,51.19,50.85,51.19,1123988
18-Jan-13,50.95,51.03,50.73,50.99,384524
17-Jan-13,50.90,51.08,50.78,50.94,296338
16-Jan-13,50.56,50.65,50.45,50.61,437993
15-Jan-13,50.38,50.73,50.38,50.71,201805
14-Jan-13,50.74,50.79,50.54,50.76,226272
11-Jan-13,50.71,50.76,50.51,50.73,410912
10-Jan-13,50.61,50.79,50.39,50.76,433047
9-Jan-13,50.12,50.31,50.10,50.23,673813
8-Jan-13,50.19,50.21,49.84,50.01,1737554
7-Jan-13,50.24,50.26,50.04,50.20,892421
4-Jan-13,50.22,50.50,50.13,50.46,379775
3-Jan-13,50.20,50.52,50.13,50.22,348121
2-Jan-13,50.22,50.50,50.16,50.50,722373
31-Dec-12,48.78,49.50,48.73,49.42,292968
28-Dec-12,48.85,49.00,48.64,48.78,411318
27-Dec-12,49.22,49.22,48.65,49.08,453171
26-Dec-12,49.15,49.32,48.89,49.03,358518
24-Dec-12,49.20,49.24,49.00,49.11,229874
21-Dec-12,48.86,49.24,48.80,49.19,546902
20-Dec-12,49.45,49.66,49.36,49.61,345910
19-Dec-12,50.03,50.13,49.82,49.85,211093
18-Dec-12,49.42,50.00,49.40,49.95,1411927
17-Dec-12,49.01,49.48,49.01,49.46,222352
14-Dec-12,49.09,49.21,48.93,49.05,140702
13-Dec-12,49.31,49.38,48.93,49.02,189888
12-Dec-12,49.28,49.62,49.27,49.33,209405
11-Dec-12,49.00,49.33,49.00,49.24,305860
10-Dec-12,48.76,48.91,48.72,48.86,192447
7-Dec-12,48.72,48.89,48.62,48.84,91105
6-Dec-12,48.63,48.75,48.54,48.74,278241
5-Dec-12,48.41,48.81,48.31,48.55,158444
4-Dec-12,48.46,48.57,48.28,48.41,140943
3-Dec-12,48.79,48.79,48.34,48.35,176732
30-Nov-12,48.51,48.57,48.31,48.47,102132
29-Nov-12,48.41,48.54,48.20,48.43,511111
28-Nov-12,47.57,48.27,47.37,48.17,457171
27-Nov-12,47.93,48.10,47.75,47.76,188479
26-Nov-12,47.94,48.06,47.80,48.05,601037
23-Nov-12,47.85,48.17,47.85,48.17,65636
21-Nov-12,47.28,47.41,47.22,47.41,86479
20-Nov-12,47.15,47.28,46.97,47.25,22342
19-Nov-12,46.92,47.31,46.92,47.31,78224
16-Nov-12,46.28,46.35,45.87,46.33,34372
15-Nov-12,46.37,46.45,46.04,46.16,93161
14-Nov-12,46.86,46.95,46.15,46.22,283876
13-Nov-12,46.76,47.10,46.73,46.79,30052
12-Nov-12,47.25,47.25,47.02,47.09,53663
9-Nov-12,46.89,47.38,46.85,47.05,111999
8-Nov-12,47.51,47.66,46.98,47.03,60682
7-Nov-12,48.01,48.01,47.35,47.53,30174
6-Nov-12,48.19,48.47,48.19,48.39,15294
5-Nov-12,47.98,48.10,47.80,48.01,42775
2-Nov-12,48.58,48.60,47.94,47.94,56272
1-Nov-12,48.01,48.45,47.96,48.45,99714
31-Oct-12,47.96,48.00,47.62,47.73,82628
26-Oct-12,47.87,47.94,47.65,47.79,4612
25-Oct-12,48.06,48.07,47.70,47.87,34778
24-Oct-12,48.00,48.00,47.63,47.63,15428
23-Oct-12,47.82,47.82,47.43,47.67,24201
22-Oct-12,48.50,48.59,48.25,48.51,24487
19-Oct-12,48.96,48.96,48.29,48.34,3820
18-Oct-12,49.04,49.34,48.99,49.09,10451
17-Oct-12,49.00,49.23,48.89,49.20,61419
16-Oct-12,48.61,48.91,48.61,48.91,24655
15-Oct-12,48.04,48.31,47.88,48.31,28003
12-Oct-12,48.09,48.12,47.81,47.86,19860
11-Oct-12,48.20,48.37,48.05,48.06,29051
10-Oct-12,48.00,48.07,47.76,47.83,24141
9-Oct-12,48.50,48.50,48.07,48.10,131372
8-Oct-12,48.62,48.65,48.53,48.63,17116
5-Oct-12,49.15,49.26,48.73,48.85,31168
4-Oct-12,48.64,48.85,48.52,48.85,25294
3-Oct-12,48.47,48.52,48.29,48.40,12925
2-Oct-12,48.62,48.66,48.27,48.45,83894
1-Oct-12,48.27,48.62,48.27,48.27,93835
28-Sep-12,48.28,48.28,47.96,48.02,108286
27-Sep-12,48.26,48.57,48.04,48.51,131557
26-Sep-12,48.16,48.17,47.79,47.91,78647
25-Sep-12,48.91,48.95,48.27,48.28,54302
24-Sep-12,48.62,48.76,48.51,48.68,21394
21-Sep-12,49.78,49.78,49.34,49.38,56147
20-Sep-12,49.31,49.40,49.00,49.38,40568
19-Sep-12,49.64,49.68,49.50,49.63,18080
18-Sep-12,49.57,49.59,49.42,49.53,43607
17-Sep-12,49.90,49.90,49.57,49.69,39501
14-Sep-12,49.78,50.29,49.77,49.91,93717
13-Sep-12,48.72,49.67,48.59,49.56,112537
12-Sep-12,48.78,48.84,48.58,48.71,9893
11-Sep-12,48.32,48.62,48.32,48.51,20608
10-Sep-12,48.45,48.51,48.21,48.21,34980
7-Sep-12,48.28,48.57,48.28,48.56,80828
6-Sep-12,47.35,48.10,47.35,48.10,97405
5-Sep-12,47.06,47.15,46.86,47.02,67627
4-Sep-12,47.17,47.20,46.85,47.09,41096
31-Aug-12,47.20,47.32,47.01,47.14,25828
30-Aug-12,47.08,47.08,46.73,46.81,39606
29-Aug-12,47.41,47.41,47.18,47.28,35960
28-Aug-12,47.20,47.43,47.20,47.36,24890
27-Aug-12,47.44,47.53,47.31,47.35,42810
24-Aug-12,47.17,47.50,47.04,47.37,38053
23-Aug-12,47.55,47.55,47.24,47.29,4539
22-Aug-12,47.43,47.68,47.29,47.61,17300
21-Aug-12,47.76,48.06,47.60,47.65,15422
20-Aug-12,47.60,47.64,47.39,47.64,41653
17-Aug-12,47.68,47.73,47.57,47.70,51980
16-Aug-12,47.33,47.73,47.20,47.66,74203
15-Aug-12,47.09,47.25,47.09,47.19,37559
14-Aug-12,47.36,47.36,47.07,47.16,18189
13-Aug-12,47.20,47.20,47.02,47.14,8704
10-Aug-12,46.88,47.26,46.82,47.25,13522
9-Aug-12,46.97,47.25,46.97,47.15,8767
8-Aug-12,46.90,47.16,46.90,47.06,53707
7-Aug-12,46.96,47.30,46.96,47.13,39212
6-Aug-12,46.70,46.97,46.69,46.78,22052
3-Aug-12,46.17,46.68,46.17,46.54,31522
2-Aug-12,45.54,45.81,45.09,45.42,33370
1-Aug-12,46.23,46.27,45.82,45.86,38716
31-Jul-12,46.24,46.42,46.00,46.00,117541
30-Jul-12,46.13,46.34,46.11,46.19,24896
27-Jul-12,45.58,46.42,45.58,46.29,44678
26-Jul-12,45.22,45.42,45.08,45.34,26303
25-Jul-12,44.54,44.56,44.16,44.40,49584
24-Jul-12,44.75,44.75,43.96,44.29,21749
23-Jul-12,44.56,44.81,44.26,44.75,26453
20-Jul-12,45.55,45.58,45.36,45.39,35009
19-Jul-12,45.92,46.16,45.86,46.05,26621
18-Jul-12,45.35,45.85,45.35,45.80,15200
17-Jul-12,45.46,45.56,45.00,45.54,15745
16-Jul-12,45.18,45.31,44.97,45.25,15823
13-Jul-12,44.69,45.38,44.69,45.35,41899
12-Jul-12,44.58,44.70,44.25,44.58,65627
11-Jul-12,44.97,45.12,44.79,44.98,19949
10-Jul-12,45.49,45.50,44.80,44.94,22623
9-Jul-12,45.28,45.29,45.09,45.27,33895
6-Jul-12,45.50,45.50,45.17,45.39,57513
5-Jul-12,45.95,46.05,45.69,45.89,28891
3-Jul-12,45.94,46.35,45.94,46.34,24341
2-Jul-12,45.74,45.88,45.47,45.87,28911
29-Jun-12,45.38,45.71,45.27,45.71,45107
28-Jun-12,44.04,44.26,43.73,44.26,26394
27-Jun-12,44.14,44.41,44.13,44.39,18978
26-Jun-12,43.83,44.05,43.67,43.95,18582
25-Jun-12,44.00,44.02,43.56,43.69,27239
22-Jun-12,44.53,44.63,44.27,44.58,18884
21-Jun-12,45.30,45.30,44.13,44.19,30626
20-Jun-12,45.39,45.47,45.01,45.38,24481
19-Jun-12,44.98,45.48,44.98,45.28,60263
18-Jun-12,44.47,44.75,44.33,44.62,42146
15-Jun-12,44.33,44.62,44.21,44.58,46443
14-Jun-12,43.81,44.12,43.66,44.08,45422
13-Jun-12,43.88,44.13,43.60,43.73,31112
12-Jun-12,43.69,44.09,43.43,44.09,118041
11-Jun-12,44.37,44.48,43.39,43.45,24469
8-Jun-12,43.61,44.06,43.46,44.01,111494
7-Jun-12,44.60,44.60,43.93,43.95,42283
6-Jun-12,43.25,44.00,43.25,44.00,30229
5-Jun-12,42.50,42.82,42.50,42.81,11814
4-Jun-12,42.69,42.72,42.20,42.56,75057
1-Jun-12,42.85,42.86,42.46,42.48,232865
31-May-12,43.54,43.64,43.08,43.44,24881
30-May-12,43.80,43.82,43.41,43.41,166267
29-May-12,44.15,44.38,43.95,44.28,41055
25-May-12,43.75,43.82,43.61,43.68,37845
24-May-12,43.98,44.00,43.47,43.77,40438
23-May-12,43.69,43.92,43.14,43.90,70104
22-May-12,44.20,44.47,43.81,44.05,30233
21-May-12,43.47,44.13,43.47,44.13,30526
18-May-12,43.86,43.88,43.23,43.32,45671
17-May-12,44.30,44.30,43.71,43.73,31509
16-May-12,44.72,44.84,44.27,44.33,41609
15-May-12,44.94,45.11,44.54,44.65,70736
14-May-12,45.13,45.28,44.98,45.03,183545
11-May-12,45.59,46.16,45.54,45.78,90129
10-May-12,46.19,46.20,45.85,45.93,151405
9-May-12,45.62,46.09,45.38,45.81,25931
8-May-12,46.36,46.36,45.78,46.25,44050
7-May-12,46.43,46.80,46.43,46.72,30390
4-May-12,47.08,47.10,46.50,46.52,231273
3-May-12,47.71,47.71,47.25,47.36,85458
2-May-12,47.59,47.76,47.49,47.76,32893
1-May-12,47.60,48.20,47.60,47.94,14273
30-Apr-12,47.80,47.80,47.56,47.70,20290
27-Apr-12,47.92,47.97,47.67,47.90,100077
